date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:14, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:14, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:19, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:19, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:34, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:34, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:48, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:48, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:02,2022-10-30 16:03:53,Lula,126,40.38,1,0.01,392,0.01
2022-10-30 17:05:02,2022-10-30 16:03:53,Bolsonaro,186,59.62,1,0.01,392,0.01
2022-10-30 17:06:13,2022-10-30 16:04:53,Bolsonaro,1372,62.0,7,0.09,2771,0.10
2022-10-30 17:06:13,2022-10-30 16:04:53,Lula,841,38.0,7,0.09,2771,0.10
2022-10-30 17:07:24,2022-10-30 16:05:55,Bolsonaro,5438,62.53,28,0.38,10781,0.41
2022-10-30 17:07:24,2022-10-30 16:05:55,Lula,3259,37.47,28,0.38,10781,0.41
2022-10-30 17:08:28,2022-10-30 16:08:01,Bolsonaro,33562,62.25,174,2.33,67621,2.55
2022-10-30 17:08:28,2022-10-30 16:08:01,Lula,20353,37.75,174,2.33,67621,2.55
2022-10-30 17:09:41,2022-10-30 16:08:01,Bolsonaro,33562,62.25,174,2.33,67621,2.55
2022-10-30 17:09:41,2022-10-30 16:08:01,Lula,20353,37.75,174,2.33,67621,2.55
2022-10-30 17:10:52,2022-10-30 16:10:05,Bolsonaro,59857,62.53,314,4.21,120275,4.54
2022-10-30 17:10:52,2022-10-30 16:10:05,Lula,35870,37.47,314,4.21,120275,4.54
2022-10-30 17:12:03,2022-10-30 16:11:10,Lula,40265,37.43,355,4.76,135585,5.12
2022-10-30 17:12:03,2022-10-30 16:11:10,Bolsonaro,67300,62.57,355,4.76,135585,5.12
