date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:15, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:20, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:35, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:03:49, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:05:03, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:06:14, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:07:24,2022-10-30 17:06:55,3,0.02,906,0.02,782,86.31,124,13.69,782,761,97.31,9,1.16,12,1.53
2022-10-30 17:08:29,2022-10-30 17:06:55,3,0.02,906,0.02,782,86.31,124,13.69,782,761,97.31,9,1.16,12,1.53
2022-10-30 17:09:42,2022-10-30 17:07:58,5,0.03,1598,0.03,1342,83.98,256,16.02,1342,1301,96.94,15,1.12,26,1.94
2022-10-30 17:10:53,2022-10-30 17:10:02,11,0.08,3156,0.06,2538,80.42,618,19.58,2538,2473,97.44,22,0.87,43,1.69
2022-10-30 17:12:04,2022-10-30 17:11:06,13,0.09,3786,0.08,2920,77.13,866,22.87,2920,2848,97.53,26,0.89,46,1.58
2022-10-30 17:13:11,2022-10-30 17:11:06,13,0.09,3786,0.08,2920,77.13,866,22.87,2920,2848,97.53,26,0.89,46,1.58
2022-10-30 17:14:23,2022-10-30 17:13:12,15,0.10,4350,0.09,3342,76.83,1008,23.17,3342,3243,97.04,37,1.10,62,1.86
2022-10-30 17:15:33,2022-10-30 17:14:10,18,0.12,5403,0.11,4206,77.85,1197,22.15,4206,4083,97.08,46,1.09,77,1.83
2022-10-30 17:16:39,2022-10-30 17:15:13,20,0.14,5873,0.12,4565,77.73,1308,22.27,4565,4431,97.06,51,1.12,83,1.82
2022-10-30 17:17:45,2022-10-30 17:17:18,30,0.21,9219,0.19,7246,78.60,1973,21.40,7246,6988,96.44,86,1.19,172,2.37
2022-10-30 17:18:57,2022-10-30 17:18:22,33,0.23,10327,0.21,8178,79.19,2149,20.81,8178,7892,96.50,95,1.16,191,2.34
2022-10-30 17:20:08,2022-10-30 17:18:22,33,0.23,10327,0.21,8178,79.19,2149,20.81,8178,7892,96.50,95,1.16,191,2.34
2022-10-30 17:21:24,2022-10-30 17:20:29,84,0.57,28045,0.58,22576,80.50,5469,19.50,22576,21776,96.46,266,1.17,534,2.37
2022-10-30 17:22:35,2022-10-30 17:21:32,149,1.02,49840,1.02,40005,80.27,9835,19.73,40005,38585,96.45,470,1.18,950,2.37
2022-10-30 17:23:45,2022-10-30 17:22:43,203,1.39,68298,1.40,54771,80.19,13527,19.81,54771,52807,96.41,650,1.19,1314,2.40
2022-10-30 17:25:07,2022-10-30 17:23:42,278,1.90,93797,1.93,75073,80.04,18724,19.96,75073,72393,96.43,864,1.15,1816,2.42
2022-10-30 17:26:13,2022-10-30 17:25:47,467,3.19,158297,3.25,127171,80.34,31126,19.66,127171,122662,96.45,1443,1.14,3066,2.41
2022-10-30 17:27:20,2022-10-30 17:26:53,594,4.06,199568,4.10,160104,80.23,39464,19.77,160104,154472,96.48,1812,1.13,3820,2.39
2022-10-30 17:28:26,2022-10-30 17:26:53,594,4.06,199568,4.10,160104,80.23,39464,19.77,160104,154472,96.48,1812,1.13,3820,2.39
2022-10-30 17:29:37,2022-10-30 17:27:58,779,5.33,263388,5.41,211132,80.16,52256,19.84,211132,203744,96.50,2377,1.13,5011,2.37
2022-10-30 17:30:44,2022-10-30 17:28:58,931,6.37,316029,6.49,253276,80.14,62753,19.86,253276,244336,96.47,2886,1.14,6054,2.39
2022-10-30 17:32:00,2022-10-30 17:30:57,1180,8.07,396061,8.13,316729,79.97,79332,20.03,316729,305764,96.54,3583,1.13,7382,2.33
2022-10-30 17:33:18,2022-10-30 17:32:09,1357,9.28,452616,9.29,361482,79.87,91134,20.13,361482,349086,96.57,4056,1.12,8340,2.31
2022-10-30 17:34:25,2022-10-30 17:33:15,1535,10.50,515351,10.58,411669,79.88,103682,20.12,411669,397552,96.57,4650,1.13,9467,2.30
2022-10-30 17:35:42,2022-10-30 17:34:15,1674,11.45,562581,11.55,448770,79.77,113811,20.23,448770,433419,96.58,5094,1.13,10257,2.29
2022-10-30 17:36:51,2022-10-30 17:36:20,1966,13.45,659662,13.54,525546,79.67,134116,20.33,525546,507706,96.61,5959,1.13,11881,2.26
2022-10-30 17:37:58,2022-10-30 17:36:20,1966,13.45,659662,13.54,525546,79.67,134116,20.33,525546,507706,96.61,5959,1.13,11881,2.26
2022-10-30 17:39:09,2022-10-30 17:37:28,2106,14.40,705997,14.50,562606,79.69,143391,20.31,562606,543468,96.60,6426,1.14,12712,2.26
2022-10-30 17:40:14,2022-10-30 17:39:32,2338,15.99,781312,16.04,622873,79.72,158439,20.28,622873,601689,96.60,7079,1.14,14105,2.26
2022-10-30 17:41:25,2022-10-30 17:40:41,2533,17.33,848263,17.42,676581,79.76,171682,20.24,676581,653594,96.60,7678,1.14,15309,2.26
2022-10-30 17:42:32,2022-10-30 17:41:47,2746,18.78,918802,18.86,732886,79.77,185916,20.23,732886,707966,96.60,8341,1.14,16579,2.26
2022-10-30 17:43:38,2022-10-30 17:42:48,2990,20.45,998610,20.50,796132,79.72,202478,20.28,796132,769145,96.61,9045,1.14,17942,2.25
2022-10-30 17:44:53,2022-10-30 17:42:48,2990,20.45,998610,20.50,796132,79.72,202478,20.28,796132,769145,96.61,9045,1.14,17942,2.25
2022-10-30 17:46:03,2022-10-30 17:45:00,3329,22.77,1110485,22.80,885208,79.71,225277,20.29,885208,855453,96.64,10038,1.13,19717,2.23
2022-10-30 17:47:16,2022-10-30 17:45:58,3473,23.76,1157255,23.76,922157,79.68,235098,20.32,922157,891209,96.64,10477,1.14,20471,2.22
2022-10-30 17:48:49,2022-10-30 17:48:12,3815,26.09,1274096,26.16,1015167,79.68,258929,20.32,1015167,981056,96.64,11562,1.14,22549,2.22
2022-10-30 17:50:04,2022-10-30 17:49:15,4078,27.89,1362697,27.98,1085328,79.65,277369,20.35,1085328,1048854,96.64,12361,1.14,24113,2.22
2022-10-30 17:51:16,2022-10-30 17:50:20,4240,29.00,1417396,29.10,1128839,79.64,288557,20.36,1128839,1091003,96.65,12790,1.13,25046,2.22
2022-10-30 17:52:29,2022-10-30 17:51:23,4355,29.79,1455868,29.89,1159046,79.61,296822,20.39,1159046,1120216,96.65,13124,1.13,25706,2.22
2022-10-30 17:53:46,2022-10-30 17:52:24,4459,30.50,1492290,30.64,1187854,79.60,304436,20.40,1187854,1148060,96.65,13427,1.13,26367,2.22
2022-10-30 17:55:05,2022-10-30 17:54:31,4802,32.85,1605598,32.96,1277993,79.60,327605,20.40,1277993,1235173,96.65,14444,1.13,28376,2.22
2022-10-30 17:56:27,2022-10-30 17:55:40,5061,34.62,1693131,34.76,1347593,79.59,345538,20.41,1347593,1302610,96.66,15205,1.13,29778,2.21
2022-10-30 17:57:51,2022-10-30 17:56:43,5276,36.09,1765752,36.25,1405479,79.60,360273,20.40,1405479,1358585,96.66,15900,1.13,30994,2.21
2022-10-30 17:59:12,2022-10-30 17:57:47,5352,36.61,1792410,36.80,1426702,79.60,365708,20.40,1426702,1379102,96.66,16111,1.13,31489,2.21
2022-10-30 18:00:26,2022-10-30 17:58:48,5540,37.89,1858030,38.15,1478411,79.57,379619,20.43,1478411,1429173,96.67,16639,1.12,32599,2.21
2022-10-30 18:01:55,2022-10-30 18:00:57,5899,40.35,1978887,40.63,1574182,79.55,404705,20.45,1574182,1521777,96.67,17760,1.13,34645,2.20
2022-10-30 18:03:18,2022-10-30 18:02:04,6036,41.29,2024915,41.57,1610126,79.52,414789,20.48,1610126,1556542,96.67,18168,1.13,35416,2.20
2022-10-30 18:04:32,2022-10-30 18:04:13,6299,43.08,2116356,43.45,1682582,79.50,433774,20.50,1682582,1626677,96.68,19013,1.13,36892,2.19
2022-10-30 18:05:40,2022-10-30 18:04:13,6299,43.08,2116356,43.45,1682582,79.50,433774,20.50,1682582,1626677,96.68,19013,1.13,36892,2.19
2022-10-30 18:06:58,2022-10-30 18:06:22,6522,44.61,2189941,44.96,1740615,79.48,449326,20.52,1740615,1682818,96.68,19625,1.13,38172,2.19
2022-10-30 18:08:16,2022-10-30 18:07:28,6719,45.96,2257521,46.35,1793768,79.46,463753,20.54,1793768,1734245,96.68,20256,1.13,39267,2.19
2022-10-30 18:09:36,2022-10-30 18:08:34,6900,47.20,2319185,47.62,1842360,79.44,476825,20.56,1842360,1781310,96.69,20785,1.12,40265,2.19
2022-10-30 18:10:53,2022-10-30 18:09:41,7008,47.93,2354869,48.35,1870625,79.44,484244,20.56,1870625,1808683,96.69,21101,1.13,40841,2.18
2022-10-30 18:12:17,2022-10-30 18:10:47,7131,48.78,2397583,49.23,1904187,79.42,493396,20.58,1904187,1841160,96.69,21462,1.13,41565,2.18
2022-10-30 18:13:32,2022-10-30 18:13:01,7537,51.55,2538757,52.12,2016149,79.41,522608,20.59,2016149,1949508,96.69,22762,1.13,43879,2.18
2022-10-30 18:14:41,2022-10-30 18:14:05,7719,52.80,2598084,53.34,2063184,79.41,534900,20.59,2063184,1994950,96.69,23323,1.13,44911,2.18
2022-10-30 18:16:09,2022-10-30 18:15:07,7916,54.15,2662169,54.66,2113658,79.40,548511,20.60,2113658,2043840,96.70,23886,1.13,45932,2.17
2022-10-30 18:17:28,2022-10-30 18:16:11,8064,55.16,2711298,55.67,2152840,79.40,558458,20.60,2152840,2081822,96.70,24319,1.13,46699,2.17
2022-10-30 18:18:58,2022-10-30 18:17:14,8216,56.20,2762424,56.72,2193102,79.39,569322,20.61,2193102,2120781,96.70,24815,1.13,47506,2.17
2022-10-30 18:20:20,2022-10-30 18:19:21,8578,58.67,2883190,59.20,2288174,79.36,595016,20.64,2288174,2212757,96.70,25868,1.13,49549,2.17
2022-10-30 18:21:42,2022-10-30 18:20:27,8725,59.68,2934949,60.26,2329406,79.37,605543,20.63,2329406,2252676,96.71,26313,1.13,50417,2.16
2022-10-30 18:23:07,2022-10-30 18:22:37,9042,61.85,3038736,62.39,2411665,79.36,627071,20.64,2411665,2332224,96.71,27254,1.13,52187,2.16
2022-10-30 18:24:30,2022-10-30 18:23:42,9250,63.27,3104746,63.74,2463879,79.36,640867,20.64,2463879,2382761,96.71,27845,1.13,53273,2.16
2022-10-30 18:25:54,2022-10-30 18:24:49,9441,64.58,3166598,65.01,2513635,79.38,652963,20.62,2513635,2430926,96.71,28420,1.13,54289,2.16
2022-10-30 18:27:26,2022-10-30 18:25:56,9652,66.02,3235813,66.44,2568258,79.37,667555,20.63,2568258,2483828,96.71,29031,1.13,55399,2.16
2022-10-30 18:28:45,2022-10-30 18:28:11,10005,68.43,3354366,68.87,2662240,79.37,692126,20.63,2662240,2574676,96.71,30136,1.13,57428,2.16
2022-10-30 18:30:09,2022-10-30 18:29:11,10158,69.48,3406852,69.95,2703744,79.36,703108,20.64,2703744,2614813,96.71,30631,1.13,58300,2.16
2022-10-30 18:31:40,2022-10-30 18:30:19,10284,70.34,3449654,70.83,2737580,79.36,712074,20.64,2737580,2647621,96.71,31022,1.14,58937,2.15
2022-10-30 18:33:06,2022-10-30 18:32:34,10602,72.52,3554860,72.99,2821175,79.36,733685,20.64,2821175,2728647,96.72,31881,1.13,60647,2.15
2022-10-30 18:34:25,2022-10-30 18:33:34,10761,73.60,3608961,74.10,2864025,79.36,744936,20.64,2864025,2770170,96.72,32367,1.13,61488,2.15
2022-10-30 18:35:47,2022-10-30 18:34:50,10918,74.68,3663134,75.21,2907007,79.36,756127,20.64,2907007,2811742,96.72,32847,1.13,62418,2.15
2022-10-30 18:37:11,2022-10-30 18:35:54,11092,75.87,3722014,76.42,2953976,79.36,768038,20.64,2953976,2857159,96.72,33413,1.13,63404,2.15
2022-10-30 18:38:38,2022-10-30 18:38:04,11422,78.13,3833252,78.70,3041476,79.34,791776,20.66,3041476,2941869,96.73,34377,1.13,65230,2.14
2022-10-30 18:40:08,2022-10-30 18:39:05,11590,79.27,3889021,79.85,3085280,79.33,803741,20.67,3085280,2984212,96.72,34833,1.13,66235,2.15
2022-10-30 18:41:39,2022-10-30 18:40:10,11703,80.05,3926429,80.61,3114338,79.32,812091,20.68,3114338,3012479,96.73,35139,1.13,66720,2.14
2022-10-30 18:43:01,2022-10-30 18:42:28,11987,81.99,4020040,82.54,3188080,79.30,831960,20.70,3188080,3084068,96.74,35940,1.12,68072,2.14
2022-10-30 18:44:20,2022-10-30 18:43:30,12042,82.37,4038219,82.91,3202444,79.30,835775,20.70,3202444,3097976,96.74,36098,1.13,68370,2.13
2022-10-30 18:45:41,2022-10-30 18:44:42,12138,83.02,4071189,83.59,3228405,79.30,842784,20.70,3228405,3123113,96.74,36394,1.13,68898,2.13
2022-10-30 18:47:00,2022-10-30 18:45:48,12254,83.82,4110700,84.40,3259398,79.29,851302,20.71,3259398,3153141,96.74,36737,1.13,69520,2.13
2022-10-30 18:48:23,2022-10-30 18:46:54,12389,84.74,4155279,85.31,3295152,79.30,860127,20.70,3295152,3187717,96.74,37166,1.13,70269,2.13
2022-10-30 18:50:00,2022-10-30 18:49:14,12630,86.39,4232136,86.89,3356218,79.30,875918,20.70,3356218,3246833,96.74,37885,1.13,71500,2.13
2022-10-30 18:51:37,2022-10-30 18:50:13,12718,86.99,4259787,87.46,3378295,79.31,881492,20.69,3378295,3268203,96.74,38131,1.13,71961,2.13
2022-10-30 18:53:11,2022-10-30 18:52:32,12940,88.51,4328385,88.87,3431971,79.29,896414,20.71,3431971,3320152,96.74,38746,1.13,73073,2.13
2022-10-30 18:54:37,2022-10-30 18:53:33,13031,89.13,4358406,89.48,3455748,79.29,902658,20.71,3455748,3343162,96.74,39023,1.13,73563,2.13
2022-10-30 18:56:07,2022-10-30 18:54:42,13106,89.64,4383094,89.99,3475462,79.29,907632,20.71,3475462,3362242,96.74,39259,1.13,73961,2.13
2022-10-30 18:57:40,2022-10-30 18:56:54,13301,90.98,4445687,91.28,3524886,79.29,920801,20.71,3524886,3410081,96.74,39830,1.13,74975,2.13
2022-10-30 18:59:11,2022-10-30 18:57:58,13417,91.77,4484302,92.07,3555174,79.28,929128,20.72,3555174,3439395,96.74,40205,1.13,75574,2.13
2022-10-30 19:00:43,2022-10-30 18:59:03,13495,92.31,4509869,92.59,3575561,79.28,934308,20.72,3575561,3459121,96.74,40448,1.13,75992,2.13
2022-10-30 19:02:13,2022-10-30 19:01:13,13687,93.62,4571424,93.86,3624073,79.28,947351,20.72,3624073,3506145,96.75,41002,1.13,76926,2.12
2022-10-30 19:03:37,2022-10-30 19:02:23,13806,94.43,4610819,94.67,3655313,79.28,955506,20.72,3655313,3536391,96.75,41386,1.13,77536,2.12
2022-10-30 19:05:03,2022-10-30 19:03:28,13869,94.86,4630674,95.07,3670984,79.28,959690,20.72,3670984,3551557,96.75,41562,1.13,77865,2.12
2022-10-30 19:06:23,2022-10-30 19:05:41,14008,95.81,4675922,96.00,3707133,79.28,968789,20.72,3707133,3586612,96.75,41964,1.13,78557,2.12
2022-10-30 19:07:54,2022-10-30 19:06:53,14082,96.32,4699846,96.49,3726181,79.28,973665,20.72,3726181,3605069,96.75,42169,1.13,78943,2.12
2022-10-30 19:09:17,2022-10-30 19:07:52,14120,96.58,4712037,96.74,3735816,79.28,976221,20.72,3735816,3614422,96.75,42267,1.13,79127,2.12
2022-10-30 19:10:46,2022-10-30 19:10:12,14201,97.13,4738194,97.28,3756728,79.29,981466,20.71,3756728,3634679,96.75,42508,1.13,79541,2.12
2022-10-30 19:12:32,2022-10-30 19:11:11,14230,97.33,4747302,97.47,3763883,79.28,983419,20.72,3763883,3641630,96.75,42585,1.13,79668,2.12
2022-10-30 19:14:16,2022-10-30 19:13:32,14295,97.78,4768058,97.89,3780295,79.28,987763,20.72,3780295,3657548,96.75,42763,1.13,79984,2.12
2022-10-30 19:15:55,2022-10-30 19:14:30,14312,97.89,4773590,98.01,3784710,79.28,988880,20.72,3784710,3661832,96.75,42797,1.13,80081,2.12
2022-10-30 19:17:37,2022-10-30 19:16:45,14360,98.22,4789545,98.34,3797472,79.29,992073,20.71,3797472,3674193,96.75,42958,1.13,80321,2.12
2022-10-30 19:19:17,2022-10-30 19:17:49,14382,98.37,4796859,98.49,3803221,79.29,993638,20.71,3803221,3679779,96.75,43018,1.14,80424,2.11
2022-10-30 19:20:55,2022-10-30 19:20:08,14402,98.51,4803223,98.62,3808248,79.29,994975,20.71,3808248,3684650,96.75,43082,1.14,80516,2.11
2022-10-30 19:22:28,2022-10-30 19:21:09,14412,98.58,4805997,98.67,3810367,79.28,995630,20.72,3810367,3686727,96.76,43098,1.13,80542,2.11
2022-10-30 19:23:59,2022-10-30 19:22:20,14440,98.77,4814674,98.85,3817227,79.28,997447,20.72,3817227,3693352,96.75,43174,1.14,80701,2.11
2022-10-30 19:25:46,2022-10-30 19:24:28,14477,99.02,4826434,99.09,3826029,79.27,1000405,20.73,3826029,3701921,96.76,43257,1.13,80851,2.11
2022-10-30 19:27:35,2022-10-30 19:26:46,14546,99.49,4848347,99.54,3843275,79.27,1005072,20.73,3843275,3718635,96.76,43425,1.13,81215,2.11
2022-10-30 19:29:13,2022-10-30 19:28:54,14553,99.54,4850504,99.59,3844892,79.27,1005612,20.73,3844892,3720194,96.76,43445,1.13,81253,2.11
2022-10-30 19:31:01,2022-10-30 19:30:00,14556,99.56,4851301,99.60,3845560,79.27,1005741,20.73,3845560,3720835,96.76,43458,1.13,81267,2.11
2022-10-30 19:32:38,2022-10-30 19:32:12,14565,99.62,4854195,99.66,3847818,79.27,1006377,20.73,3847818,3723016,96.76,43492,1.13,81310,2.11
2022-10-30 19:34:23,2022-10-30 19:33:19,14569,99.65,4855057,99.68,3848439,79.27,1006618,20.73,3848439,3723621,96.76,43497,1.13,81321,2.11
2022-10-30 19:36:14,2022-10-30 19:35:31,14584,99.75,4859422,99.77,3851967,79.27,1007455,20.73,3851967,3727001,96.76,43551,1.13,81415,2.11
2022-10-30 19:38:18,2022-10-30 19:37:43,14586,99.77,4860077,99.78,3852407,79.27,1007670,20.73,3852407,3727428,96.76,43556,1.13,81423,2.11
2022-10-30 19:39:48,2022-10-30 19:38:49,14590,99.79,4861189,99.81,3853297,79.27,1007892,20.73,3853297,3728296,96.76,43560,1.13,81441,2.11
2022-10-30 19:41:41,2022-10-30 19:38:49,14590,99.79,4861189,99.81,3853297,79.27,1007892,20.73,3853297,3728296,96.76,43560,1.13,81441,2.11
2022-10-30 19:43:09,2022-10-30 19:42:07,14592,99.81,4861858,99.82,3853767,79.27,1008091,20.73,3853767,3728755,96.76,43562,1.13,81450,2.11
2022-10-30 19:44:47,2022-10-30 19:44:19,14596,99.84,4862806,99.84,3854557,79.27,1008249,20.73,3854557,3729518,96.76,43571,1.13,81468,2.11
2022-10-30 19:46:42,2022-10-30 19:44:19,14596,99.84,4862806,99.84,3854557,79.27,1008249,20.73,3854557,3729518,96.76,43571,1.13,81468,2.11
2022-10-30 19:48:23,2022-10-30 19:47:36,14599,99.86,4863653,99.86,3855114,79.26,1008539,20.74,3855114,3730063,96.76,43575,1.13,81476,2.11
2022-10-30 19:49:59,2022-10-30 19:49:47,14603,99.88,4865072,99.89,3856143,79.26,1008929,20.74,3856143,3731055,96.76,43585,1.13,81503,2.11
2022-10-30 19:51:53,2022-10-30 19:49:47,14603,99.88,4865072,99.89,3856143,79.26,1008929,20.74,3856143,3731055,96.76,43585,1.13,81503,2.11
2022-10-30 19:53:28,2022-10-30 19:49:47,14603,99.88,4865072,99.89,3856143,79.26,1008929,20.74,3856143,3731055,96.76,43585,1.13,81503,2.11
2022-10-30 19:55:01,2022-10-30 19:53:05,14607,99.91,4866452,99.91,3857168,79.26,1009284,20.74,3857168,3732053,96.76,43593,1.13,81522,2.11
2022-10-30 19:56:43,2022-10-30 19:55:15,14610,99.93,4867257,99.93,3857781,79.26,1009476,20.74,3857781,3732652,96.76,43598,1.13,81531,2.11
2022-10-30 19:58:22,2022-10-30 19:55:15,14610,99.93,4867257,99.93,3857781,79.26,1009476,20.74,3857781,3732652,96.76,43598,1.13,81531,2.11
2022-10-30 20:00:31,2022-10-30 19:59:37,14611,99.94,4867631,99.94,3858078,79.26,1009553,20.74,3858078,3732942,96.76,43602,1.13,81534,2.11
2022-10-30 20:02:47,2022-10-30 19:59:37,14611,99.94,4867631,99.94,3858078,79.26,1009553,20.74,3858078,3732942,96.76,43602,1.13,81534,2.11
2022-10-30 20:04:41,2022-10-30 19:59:37,14611,99.94,4867631,99.94,3858078,79.26,1009553,20.74,3858078,3732942,96.76,43602,1.13,81534,2.11
2022-10-30 20:06:37,2022-10-30 20:06:11,14614,99.96,4868720,99.96,3858943,79.26,1009777,20.74,3858943,3733792,96.76,43605,1.13,81546,2.11
2022-10-30 20:08:20,2022-10-30 20:06:11,14614,99.96,4868720,99.96,3858943,79.26,1009777,20.74,3858943,3733792,96.76,43605,1.13,81546,2.11
2022-10-30 20:10:02,2022-10-30 20:06:11,14614,99.96,4868720,99.96,3858943,79.26,1009777,20.74,3858943,3733792,96.76,43605,1.13,81546,2.11
2022-10-30 20:11:56,2022-10-30 20:06:11,14614,99.96,4868720,99.96,3858943,79.26,1009777,20.74,3858943,3733792,96.76,43605,1.13,81546,2.11
2022-10-30 20:14:01,2022-10-30 20:06:11,14614,99.96,4868720,99.96,3858943,79.26,1009777,20.74,3858943,3733792,96.76,43605,1.13,81546,2.11
2022-10-30 20:16:09,2022-10-30 20:06:11,14614,99.96,4868720,99.96,3858943,79.26,1009777,20.74,3858943,3733792,96.76,43605,1.13,81546,2.11
2022-10-30 20:18:43,2022-10-30 20:06:11,14614,99.96,4868720,99.96,3858943,79.26,1009777,20.74,3858943,3733792,96.76,43605,1.13,81546,2.11
2022-10-30 20:20:47,2022-10-30 20:06:11,14614,99.96,4868720,99.96,3858943,79.26,1009777,20.74,3858943,3733792,96.76,43605,1.13,81546,2.11
2022-10-30 20:22:09,2022-10-30 20:06:11,14614,99.96,4868720,99.96,3858943,79.26,1009777,20.74,3858943,3733792,96.76,43605,1.13,81546,2.11
2022-10-30 20:23:46,2022-10-30 20:06:11,14614,99.96,4868720,99.96,3858943,79.26,1009777,20.74,3858943,3733792,96.76,43605,1.13,81546,2.11
2022-10-30 20:25:08,2022-10-30 20:06:11,14614,99.96,4868720,99.96,3858943,79.26,1009777,20.74,3858943,3733792,96.76,43605,1.13,81546,2.11
2022-10-30 20:26:48,2022-10-30 20:06:11,14614,99.96,4868720,99.96,3858943,79.26,1009777,20.74,3858943,3733792,96.76,43605,1.13,81546,2.11
2022-10-30 20:28:21,2022-10-30 20:06:11,14614,99.96,4868720,99.96,3858943,79.26,1009777,20.74,3858943,3733792,96.76,43605,1.13,81546,2.11
2022-10-30 20:30:17,2022-10-30 20:06:11,14614,99.96,4868720,99.96,3858943,79.26,1009777,20.74,3858943,3733792,96.76,43605,1.13,81546,2.11
2022-10-30 20:32:04,2022-10-30 20:06:11,14614,99.96,4868720,99.96,3858943,79.26,1009777,20.74,3858943,3733792,96.76,43605,1.13,81546,2.11
2022-10-30 20:33:54,2022-10-30 20:32:20,14615,99.97,4869084,99.97,3859233,79.26,1009851,20.74,3859233,3734075,96.76,43606,1.13,81552,2.11
2022-10-30 20:35:24,2022-10-30 20:33:26,14617,99.98,4869650,99.98,3859642,79.26,1010008,20.74,3859642,3734465,96.76,43606,1.13,81571,2.11
2022-10-30 20:36:58,2022-10-30 20:33:26,14617,99.98,4869650,99.98,3859642,79.26,1010008,20.74,3859642,3734465,96.76,43606,1.13,81571,2.11
