date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:16, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:16, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:26, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:26, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:36, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:36, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:57, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:57, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:04, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:04, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:16, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:16, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:26,2022-10-30 16:05:54,Lula,177,56.73,2,0.03,384,0.02
2022-10-30 17:07:26,2022-10-30 16:05:54,Bolsonaro,135,43.27,2,0.03,384,0.02
2022-10-30 17:08:39,2022-10-30 16:06:57,Lula,1054,41.46,10,0.13,3180,0.13
2022-10-30 17:08:39,2022-10-30 16:06:57,Bolsonaro,1488,58.54,10,0.13,3180,0.13
2022-10-30 17:09:50,2022-10-30 16:09:02,Lula,4160,39.03,44,0.58,13548,0.55
2022-10-30 17:09:50,2022-10-30 16:09:02,Bolsonaro,6499,60.97,44,0.58,13548,0.55
2022-10-30 17:11:00,2022-10-30 16:10:03,Bolsonaro,9253,60.9,64,0.84,19301,0.78
2022-10-30 17:11:00,2022-10-30 16:10:03,Lula,5941,39.1,64,0.84,19301,0.78
2022-10-30 17:12:06,2022-10-30 16:11:10,Bolsonaro,13251,60.78,92,1.20,27741,1.12
2022-10-30 17:12:06,2022-10-30 16:11:10,Lula,8549,39.22,92,1.20,27741,1.12
2022-10-30 17:13:14,2022-10-30 16:12:08,Bolsonaro,15983,60.81,110,1.44,33508,1.36
2022-10-30 17:13:14,2022-10-30 16:12:08,Lula,10301,39.19,110,1.44,33508,1.36
2022-10-30 17:14:24,2022-10-30 16:13:24,Bolsonaro,21163,59.47,151,1.97,45468,1.84
2022-10-30 17:14:24,2022-10-30 16:13:24,Lula,14424,40.53,151,1.97,45468,1.84
2022-10-30 17:15:35,2022-10-30 16:14:18,Bolsonaro,25320,58.76,184,2.40,55179,2.23
2022-10-30 17:15:35,2022-10-30 16:14:18,Lula,17767,41.24,184,2.40,55179,2.23
2022-10-30 17:16:41,2022-10-30 16:15:26,Bolsonaro,29181,59.19,211,2.76,63183,2.56
2022-10-30 17:16:41,2022-10-30 16:15:26,Lula,20118,40.81,211,2.76,63183,2.56
2022-10-30 17:17:48,2022-10-30 16:16:29,Lula,25284,39.5,270,3.53,81803,3.31
2022-10-30 17:17:48,2022-10-30 16:16:29,Bolsonaro,38723,60.5,270,3.53,81803,3.31
2022-10-30 17:19:04,2022-10-30 16:17:29,Lula,30990,39.08,332,4.34,101181,4.10
2022-10-30 17:19:04,2022-10-30 16:17:29,Bolsonaro,48314,60.92,332,4.34,101181,4.10
2022-10-30 17:20:10,2022-10-30 16:18:37,Bolsonaro,61804,61.42,415,5.42,128264,5.19
2022-10-30 17:20:10,2022-10-30 16:18:37,Lula,38826,38.58,415,5.42,128264,5.19
2022-10-30 17:21:31,2022-10-30 16:20:47,Bolsonaro,96738,61.67,633,8.27,200090,8.10
2022-10-30 17:21:31,2022-10-30 16:20:47,Lula,60121,38.33,633,8.27,200090,8.10
2022-10-30 17:22:36,2022-10-30 16:21:54,Bolsonaro,121721,61.93,785,10.26,251052,10.16
2022-10-30 17:22:36,2022-10-30 16:21:54,Lula,74816,38.07,785,10.26,251052,10.16
2022-10-30 17:23:53,2022-10-30 16:22:54,Bolsonaro,134955,62.0,872,11.40,278615,11.28
2022-10-30 17:23:53,2022-10-30 16:22:54,Lula,82727,38.0,872,11.40,278615,11.28
2022-10-30 17:25:10,2022-10-30 16:23:59,Bolsonaro,150373,62.06,968,12.65,310364,12.57
2022-10-30 17:25:10,2022-10-30 16:23:59,Lula,91926,37.94,968,12.65,310364,12.57
2022-10-30 17:26:15,2022-10-30 16:25:00,Bolsonaro,169110,62.4,1082,14.14,347560,14.07
2022-10-30 17:26:15,2022-10-30 16:25:00,Lula,101882,37.6,1082,14.14,347560,14.07
2022-10-30 17:27:22,2022-10-30 16:27:04,Bolsonaro,227281,62.61,1458,19.05,466808,18.90
2022-10-30 17:27:22,2022-10-30 16:27:04,Lula,135707,37.39,1458,19.05,466808,18.90
2022-10-30 17:28:28,2022-10-30 16:27:04,Lula,135707,37.39,1458,19.05,466808,18.90
2022-10-30 17:28:28,2022-10-30 16:27:04,Bolsonaro,227281,62.61,1458,19.05,466808,18.90
2022-10-30 17:29:39,2022-10-30 16:28:14,Bolsonaro,244961,62.79,1576,20.60,502920,20.36
2022-10-30 17:29:39,2022-10-30 16:28:14,Lula,145173,37.21,1576,20.60,502920,20.36
2022-10-30 17:30:51,2022-10-30 16:30:11,Bolsonaro,279816,62.88,1800,23.52,575420,23.30
2022-10-30 17:30:51,2022-10-30 16:30:11,Lula,165182,37.12,1800,23.52,575420,23.30
2022-10-30 17:32:08,2022-10-30 16:31:21,Bolsonaro,303815,63.05,1952,25.51,623477,25.24
2022-10-30 17:32:08,2022-10-30 16:31:21,Lula,178026,36.95,1952,25.51,623477,25.24
2022-10-30 17:33:21,2022-10-30 16:32:26,Bolsonaro,315092,62.96,2031,26.54,647617,26.22
