id_ibge,nc,votos,urnas_apuradas,prop,secoes_totais
1100015,JAIR BOLSONARO,9768,100.00,71.16,72
1100015,LULA,3959,100.00,28.84,72
1100023,JAIR BOLSONARO,39901,100.00,79.15,261
1100023,LULA,10513,100.00,20.85,261
1100031,JAIR BOLSONARO,2405,100.00,68.50,14
1100031,LULA,1106,100.00,31.50,14
1100049,JAIR BOLSONARO,37980,100.00,75.33,235
1100049,LULA,12437,100.00,24.67,235
1100056,JAIR BOLSONARO,7854,100.00,79.78,49
1100056,LULA,1990,100.00,20.22,49
1100064,JAIR BOLSONARO,7253,100.00,73.57,40
1100064,LULA,2606,100.00,26.43,40
1100072,JAIR BOLSONARO,2683,100.00,63.77,24
1100072,LULA,1524,100.00,36.23,24
1100080,JAIR BOLSONARO,4220,100.00,63.51,36
1100080,LULA,2425,100.00,36.49,36
1100098,JAIR BOLSONARO,13595,100.00,76.35,86
1100098,LULA,4212,100.00,23.65,86
1100106,JAIR BOLSONARO,13001,100.00,65.53,104
1100106,LULA,6838,100.00,34.47,104
1100114,JAIR BOLSONARO,22611,100.00,76.85,133
1100114,LULA,6813,100.00,23.15,133
1100122,JAIR BOLSONARO,51415,100.00,75.47,301
1100122,LULA,16711,100.00,24.53,301
1100130,JAIR BOLSONARO,11490,100.00,70.75,79
1100130,LULA,4750,100.00,29.25,79
1100148,JAIR BOLSONARO,7457,100.00,72.32,47
1100148,LULA,2854,100.00,27.68,47
1100155,JAIR BOLSONARO,14631,100.00,71.36,96
1100155,LULA,5872,100.00,28.64,96
1100189,JAIR BOLSONARO,14932,100.00,75.19,113
1100189,LULA,4927,100.00,24.81,113
1100205,JAIR BOLSONARO,169299,100.00,64.63,1159
1100205,LULA,92636,100.00,35.37,1159
1100254,JAIR BOLSONARO,8252,100.00,73.28,56
1100254,LULA,3009,100.00,26.72,56
1100262,JAIR BOLSONARO,1752,100.00,74.81,11
1100262,LULA,590,100.00,25.19,11
1100288,JAIR BOLSONARO,21868,100.00,74.04,136
1100288,LULA,7669,100.00,25.96,136
1100296,JAIR BOLSONARO,3184,100.00,65.84,21
1100296,LULA,1652,100.00,34.16,21
1100304,JAIR BOLSONARO,37718,100.00,77.43,208
1100304,LULA,10994,100.00,22.57,208
1100320,JAIR BOLSONARO,8564,100.00,68.17,57
1100320,LULA,3998,100.00,31.83,57
1100338,JAIR BOLSONARO,10226,100.00,77.92,60
1100338,LULA,2897,100.00,22.08,60
1100346,JAIR BOLSONARO,5306,100.00,64.40,34
1100346,LULA,2933,100.00,35.60,34
1100379,JAIR BOLSONARO,4237,100.00,68.05,30
1100379,LULA,1989,100.00,31.95,30
1100403,JAIR BOLSONARO,6410,100.00,76.26,43
1100403,LULA,1995,100.00,23.74,43
1100452,JAIR BOLSONARO,12479,100.00,79.29,76
1100452,LULA,3260,100.00,20.71,76
1100502,JAIR BOLSONARO,3422,100.00,64.92,21
1100502,LULA,1849,100.00,35.08,21
1100601,JAIR BOLSONARO,2210,100.00,76.15,16
1100601,LULA,692,100.00,23.85,16
1100700,JAIR BOLSONARO,3904,100.00,72.26,28
1100700,LULA,1499,100.00,27.74,28
1100809,JAIR BOLSONARO,8101,100.00,62.37,60
1100809,LULA,4887,100.00,37.63,60
1100908,JAIR BOLSONARO,1356,100.00,61.14,12
1100908,LULA,862,100.00,38.86,12
1100924,JAIR BOLSONARO,3352,100.00,67.88,26
1100924,LULA,1586,100.00,32.12,26
1100940,JAIR BOLSONARO,5818,100.00,77.09,36
1100940,LULA,1729,100.00,22.91,36
1101005,JAIR BOLSONARO,3625,100.00,70.18,29
1101005,LULA,1540,100.00,29.82,29
1101104,JAIR BOLSONARO,2736,100.00,62.49,24
1101104,LULA,1642,100.00,37.51,24
1101203,JAIR BOLSONARO,2973,100.00,65.46,19
1101203,LULA,1569,100.00,34.54,19
1101302,JAIR BOLSONARO,3986,100.00,62.88,35
1101302,LULA,2353,100.00,37.12,35
1101401,JAIR BOLSONARO,5308,100.00,75.07,38
1101401,LULA,1763,100.00,24.93,38
1101435,JAIR BOLSONARO,2285,100.00,56.57,19
1101435,LULA,1754,100.00,43.43,19
1101450,JAIR BOLSONARO,1405,100.00,60.85,15
1101450,LULA,904,100.00,39.15,15
1101468,JAIR BOLSONARO,943,100.00,65.58,8
1101468,LULA,495,100.00,34.42,8
1101476,JAIR BOLSONARO,1630,100.00,74.46,13
1101476,LULA,559,100.00,25.54,13
1101484,JAIR BOLSONARO,2293,100.00,68.08,13
1101484,LULA,1075,100.00,31.92,13
1101492,JAIR BOLSONARO,6530,100.00,71.73,45
1101492,LULA,2574,100.00,28.27,45
1101500,JAIR BOLSONARO,4723,100.00,65.68,36
1101500,LULA,2468,100.00,34.32,36
1101559,JAIR BOLSONARO,1888,100.00,63.19,16
1101559,LULA,1100,100.00,36.81,16
1101609,JAIR BOLSONARO,3816,100.00,68.14,31
1101609,LULA,1784,100.00,31.86,31
1101708,JAIR BOLSONARO,4402,100.00,66.46,33
1101708,LULA,2222,100.00,33.54,33
1101757,JAIR BOLSONARO,3231,100.00,71.12,21
1101757,LULA,1312,100.00,28.88,21
1101807,JAIR BOLSONARO,2808,100.00,64.78,23
1101807,LULA,1527,100.00,35.22,23
1200013,JAIR BOLSONARO,5317,100.00,78.46,42
1200013,LULA,1460,100.00,21.54,42
1200054,JAIR BOLSONARO,2717,100.00,58.91,23
1200054,LULA,1895,100.00,41.09,23
1200104,JAIR BOLSONARO,9593,100.00,70.79,71
1200104,LULA,3958,100.00,29.21,71
1200138,JAIR BOLSONARO,4693,100.00,70.56,35
1200138,LULA,1958,100.00,29.44,35
1200179,JAIR BOLSONARO,3963,100.00,72.58,31
1200179,LULA,1497,100.00,27.42,31
1200203,JAIR BOLSONARO,31936,100.00,76.64,229
1200203,LULA,9733,100.00,23.36,229
1200252,JAIR BOLSONARO,6729,100.00,73.20,47
1200252,LULA,2464,100.00,26.80,47
1200302,JAIR BOLSONARO,6383,100.00,47.30,85
1200302,LULA,7113,100.00,52.70,85
1200328,JAIR BOLSONARO,1433,100.00,41.99,21
1200328,LULA,1980,100.00,58.01,21
1200336,JAIR BOLSONARO,6331,100.00,70.04,53
1200336,LULA,2708,100.00,29.96,53
1200344,JAIR BOLSONARO,2889,100.00,58.53,27
1200344,LULA,2047,100.00,41.47,27
1200351,JAIR BOLSONARO,3710,100.00,57.50,42
1200351,LULA,2742,100.00,42.50,42
1200385,JAIR BOLSONARO,6176,100.00,72.81,53
1200385,LULA,2306,100.00,27.19,53
1200393,JAIR BOLSONARO,1866,100.00,47.13,27
1200393,LULA,2093,100.00,52.87,27
1200401,JAIR BOLSONARO,142090,100.00,72.51,888
1200401,LULA,53873,100.00,27.49,888
1200427,JAIR BOLSONARO,6011,100.00,80.51,48
1200427,LULA,1455,100.00,19.49,48
1200435,JAIR BOLSONARO,1127,100.00,48.08,13
1200435,LULA,1217,100.00,51.92,13
1200450,JAIR BOLSONARO,9512,100.00,74.02,73
1200450,LULA,3338,100.00,25.98,73
1200500,JAIR BOLSONARO,13606,100.00,73.22,110
1200500,LULA,4976,100.00,26.78,110
1200609,JAIR BOLSONARO,9067,100.00,57.14,101
1200609,LULA,6802,100.00,42.86,101
