date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:14, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:19, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:34, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:03:48, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:05:01, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:06:13,2022-10-30 17:04:54,3,0.02,1122,0.02,932,83.07,190,16.93,932,906,97.21,6,0.64,20,2.15
2022-10-30 17:07:23,2022-10-30 17:05:54,13,0.07,4862,0.08,4021,82.70,841,17.30,4021,3903,97.07,45,1.11,73,1.82
2022-10-30 17:08:28,2022-10-30 17:07:04,33,0.18,11776,0.19,9614,81.64,2162,18.36,9614,9326,97.00,106,1.11,182,1.89
2022-10-30 17:09:41,2022-10-30 17:08:12,80,0.44,28451,0.47,23137,81.32,5314,18.68,23137,22361,96.65,295,1.27,481,2.08
2022-10-30 17:10:52,2022-10-30 17:10:08,229,1.26,83150,1.37,68293,82.13,14857,17.87,68293,66103,96.79,790,1.16,1400,2.05
