date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:14, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:14, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:19, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:19, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:34, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:34, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:48, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:48, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:01, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:01, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:13, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:13, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:23, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:23, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:28, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:28, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:41,2022-10-30 17:07:58,Lula,688,55.26,5,0.05,1535,0.05
2022-10-30 17:09:41,2022-10-30 17:07:58,Bolsonaro,557,44.74,5,0.05,1535,0.05
2022-10-30 17:10:52,2022-10-30 17:10:02,Lula,2027,57.39,13,0.14,4419,0.14
2022-10-30 17:10:52,2022-10-30 17:10:02,Bolsonaro,1505,42.61,13,0.14,4419,0.14
2022-10-30 17:12:03,2022-10-30 17:11:05,Lula,3376,58.41,21,0.22,7242,0.23
2022-10-30 17:12:03,2022-10-30 17:11:05,Bolsonaro,2404,41.59,21,0.22,7242,0.23
2022-10-30 17:13:10,2022-10-30 17:12:09,Lula,5053,58.42,31,0.32,10780,0.35
2022-10-30 17:13:10,2022-10-30 17:12:09,Bolsonaro,3596,41.58,31,0.32,10780,0.35
2022-10-30 17:14:17,2022-10-30 17:13:20,Lula,7745,57.32,48,0.50,16885,0.55
2022-10-30 17:14:17,2022-10-30 17:13:20,Bolsonaro,5768,42.68,48,0.50,16885,0.55
2022-10-30 17:15:32,2022-10-30 17:14:22,Lula,9781,57.65,61,0.64,21257,0.69
2022-10-30 17:15:32,2022-10-30 17:14:22,Bolsonaro,7186,42.35,61,0.64,21257,0.69
