date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:14, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:19, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:34, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:03:48, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:05:01, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:06:13, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:07:23, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:08:28, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:09:41,2022-10-30 17:07:58,5,0.05,1535,0.05,1330,86.64,205,13.36,1330,1245,93.61,12,0.90,73,5.49
2022-10-30 17:10:52,2022-10-30 17:10:02,13,0.14,4419,0.14,3752,84.91,667,15.09,3752,3532,94.14,43,1.14,177,4.72
2022-10-30 17:12:03,2022-10-30 17:11:05,21,0.22,7242,0.23,6141,84.80,1101,15.20,6141,5780,94.12,70,1.14,291,4.74
2022-10-30 17:13:10,2022-10-30 17:12:09,31,0.32,10780,0.35,9196,85.31,1584,14.69,9196,8649,94.05,108,1.18,439,4.77
2022-10-30 17:14:17,2022-10-30 17:13:20,48,0.50,16885,0.55,14338,84.92,2547,15.08,14338,13513,94.25,161,1.12,664,4.63
2022-10-30 17:15:32,2022-10-30 17:14:22,61,0.64,21257,0.69,17995,84.65,3262,15.35,17995,16967,94.29,212,1.18,816,4.53
