date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:15, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:20, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:35, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:03:50, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:05:03, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:06:15, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:07:25, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:08:37, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:09:42, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:10:54,2022-10-30 17:10:08,3,0.03,896,0.03,724,80.80,172,19.20,724,704,97.24,4,0.55,16,2.21
2022-10-30 17:12:05,2022-10-30 17:11:03,5,0.06,1489,0.06,1207,81.06,282,18.94,1207,1172,97.10,4,0.33,31,2.57
2022-10-30 17:13:12,2022-10-30 17:12:06,6,0.07,1812,0.07,1479,81.62,333,18.38,1479,1432,96.82,7,0.48,40,2.70
2022-10-30 17:14:23,2022-10-30 17:13:12,16,0.18,4924,0.19,3950,80.22,974,19.78,3950,3841,97.24,21,0.53,88,2.23
2022-10-30 17:15:34,2022-10-30 17:14:10,19,0.21,5740,0.22,4610,80.31,1130,19.69,4610,4477,97.11,31,0.68,102,2.21
2022-10-30 17:16:40,2022-10-30 17:15:14,22,0.25,6532,0.25,5289,80.97,1243,19.03,5289,5133,97.05,36,0.68,120,2.27
