date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:18, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:27, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:47,2022-10-30 17:01:51,1,0.01,76,0.01,55,72.37,21,27.63,55,51,92.73,1,1.82,3,5.45
2022-10-30 17:03:59,2022-10-30 17:01:51,1,0.01,76,0.01,55,72.37,21,27.63,55,51,92.73,1,1.82,3,5.45
2022-10-30 17:05:11,2022-10-30 17:03:53,3,0.01,490,0.01,403,82.24,87,17.76,403,384,95.29,7,1.73,12,2.98
2022-10-30 17:06:22,2022-10-30 17:04:54,10,0.04,2827,0.03,2359,83.45,468,16.55,2359,2232,94.62,46,1.95,81,3.43
2022-10-30 17:07:27,2022-10-30 17:05:56,44,0.17,13929,0.16,11421,81.99,2508,18.01,11421,10910,95.53,201,1.76,310,2.71
2022-10-30 17:08:40,2022-10-30 17:07:04,115,0.45,37198,0.44,30535,82.09,6663,17.91,30535,29147,95.45,576,1.89,812,2.66
2022-10-30 17:09:51,2022-10-30 17:09:10,428,1.66,143963,1.70,118196,82.10,25767,17.90,118196,112998,95.60,2067,1.75,3131,2.65
2022-10-30 17:11:02,2022-10-30 17:10:14,564,2.19,189485,2.23,155501,82.07,33984,17.93,155501,148894,95.75,2622,1.69,3985,2.56
2022-10-30 17:12:08,2022-10-30 17:11:10,681,2.65,228503,2.69,187569,82.09,40934,17.91,187569,179695,95.80,3137,1.67,4737,2.53
2022-10-30 17:13:15,2022-10-30 17:12:13,843,3.28,284634,3.36,233463,82.02,51171,17.98,233463,223823,95.87,3818,1.64,5822,2.49
2022-10-30 17:14:30,2022-10-30 17:13:24,1154,4.49,387296,4.57,317887,82.08,69409,17.92,317887,304911,95.92,5114,1.61,7862,2.47
2022-10-30 17:15:37,2022-10-30 17:14:22,1422,5.53,479523,5.65,393576,82.08,85947,17.92,393576,377787,95.99,6219,1.58,9570,2.43
2022-10-30 17:16:43,2022-10-30 17:15:30,1698,6.60,570491,6.73,468348,82.10,102143,17.90,468348,449764,96.03,7359,1.57,11225,2.40
2022-10-30 17:17:49,2022-10-30 17:16:31,2011,7.82,674501,7.95,553485,82.06,121016,17.94,553485,531486,96.03,8707,1.57,13292,2.40
2022-10-30 17:19:05,2022-10-30 17:17:39,2116,8.23,709180,8.36,582291,82.11,126889,17.89,582291,559222,96.04,9118,1.56,13951,2.40
2022-10-30 17:20:11,2022-10-30 17:18:30,2159,8.39,724108,8.54,594737,82.13,129371,17.87,594737,571188,96.04,9302,1.56,14247,2.40
2022-10-30 17:21:32,2022-10-30 17:20:42,2320,9.02,776672,9.16,637564,82.09,139108,17.91,637564,612509,96.07,9936,1.56,15119,2.37
2022-10-30 17:22:43,2022-10-30 17:21:54,2435,9.47,816217,9.62,669645,82.04,146572,17.96,669645,643530,96.10,10367,1.55,15748,2.35
2022-10-30 17:23:59,2022-10-30 17:22:50,2646,10.29,884413,10.43,725181,82.00,159232,18.00,725181,697062,96.12,11173,1.54,16946,2.34
2022-10-30 17:25:11,2022-10-30 17:23:54,2831,11.01,946052,11.16,775794,82.00,170258,18.00,775794,746083,96.17,11853,1.53,17858,2.30
2022-10-30 17:26:18,2022-10-30 17:24:57,2975,11.57,993128,11.71,814346,82.00,178782,18.00,814346,783500,96.21,12331,1.52,18515,2.27
2022-10-30 17:27:24,2022-10-30 17:27:03,3485,13.55,1161818,13.70,950115,81.78,211703,18.22,950115,914820,96.29,14198,1.49,21097,2.22
2022-10-30 17:28:29,2022-10-30 17:27:03,3485,13.55,1161818,13.70,950115,81.78,211703,18.22,950115,914820,96.29,14198,1.49,21097,2.22
2022-10-30 17:29:40,2022-10-30 17:28:14,3715,14.44,1239217,14.61,1012395,81.70,226822,18.30,1012395,974882,96.29,15109,1.50,22404,2.21
2022-10-30 17:30:58,2022-10-30 17:30:13,4126,16.04,1373221,16.19,1120647,81.61,252574,18.39,1120647,1079499,96.33,16612,1.48,24536,2.19
2022-10-30 17:32:09,2022-10-30 17:31:18,4380,17.03,1454639,17.15,1186633,81.58,268006,18.42,1186633,1143257,96.34,17468,1.48,25908,2.18
2022-10-30 17:33:22,2022-10-30 17:32:22,4674,18.17,1550006,18.28,1263608,81.52,286398,18.48,1263608,1217640,96.36,18532,1.47,27436,2.17
2022-10-30 17:34:38,2022-10-30 17:33:28,5052,19.64,1674225,19.74,1363999,81.47,310226,18.53,1363999,1314610,96.38,19959,1.46,29430,2.16
2022-10-30 17:35:47,2022-10-30 17:34:34,5495,21.36,1818046,21.44,1480670,81.44,337376,18.56,1480670,1427430,96.40,21436,1.45,31804,2.15
2022-10-30 17:36:55,2022-10-30 17:35:39,5974,23.23,1978007,23.32,1609979,81.39,368028,18.61,1609979,1552495,96.43,23094,1.43,34390,2.14
2022-10-30 17:38:01,2022-10-30 17:36:40,6525,25.37,2165688,25.54,1762161,81.37,403527,18.63,1762161,1699366,96.44,25223,1.43,37572,2.13
2022-10-30 17:39:12,2022-10-30 17:38:41,7538,29.31,2502107,29.50,2036291,81.38,465816,18.62,2036291,1964404,96.47,28812,1.41,43075,2.12
2022-10-30 17:40:23,2022-10-30 17:39:51,7931,30.83,2636630,31.09,2145368,81.37,491262,18.63,2145368,2069972,96.49,30243,1.41,45153,2.10
2022-10-30 17:41:29,2022-10-30 17:40:55,8376,32.56,2780571,32.79,2262464,81.37,518107,18.63,2262464,2183108,96.49,31804,1.41,47552,2.10
2022-10-30 17:42:35,2022-10-30 17:40:55,8376,32.56,2780571,32.79,2262464,81.37,518107,18.63,2262464,2183108,96.49,31804,1.41,47552,2.10
2022-10-30 17:43:48,2022-10-30 17:43:01,9405,36.57,3128332,36.89,2544981,81.35,583351,18.65,2544981,2456357,96.52,35596,1.40,53028,2.08
2022-10-30 17:44:59,2022-10-30 17:44:04,9885,38.43,3280343,38.68,2668599,81.35,611744,18.65,2668599,2576052,96.53,37192,1.40,55355,2.07
2022-10-30 17:46:07,2022-10-30 17:45:08,10360,40.28,3438232,40.54,2797325,81.36,640907,18.64,2797325,2700497,96.54,38915,1.39,57913,2.07
2022-10-30 17:47:36,2022-10-30 17:46:15,10811,42.03,3585504,42.28,2916931,81.35,668573,18.65,2916931,2816101,96.54,40555,1.39,60275,2.07
2022-10-30 17:48:57,2022-10-30 17:48:29,11678,45.40,3872196,45.66,3149357,81.33,722839,18.67,3149357,3041094,96.56,43524,1.38,64739,2.06
2022-10-30 17:50:10,2022-10-30 17:49:23,12037,46.80,3991274,47.06,3245214,81.31,746060,18.69,3245214,3133566,96.56,44923,1.38,66725,2.06
2022-10-30 17:51:23,2022-10-30 17:50:28,12409,48.24,4113359,48.50,3345041,81.32,768318,18.68,3345041,3230201,96.57,46224,1.38,68616,2.05
2022-10-30 17:52:41,2022-10-30 17:51:39,12818,49.83,4247922,50.09,3453896,81.31,794026,18.69,3453896,3335545,96.57,47655,1.38,70696,2.05
2022-10-30 17:53:59,2022-10-30 17:53:39,13595,52.86,4509864,53.18,3666432,81.30,843432,18.70,3666432,3540607,96.57,50685,1.38,75140,2.05
2022-10-30 17:55:21,2022-10-30 17:54:39,13916,54.10,4612852,54.39,3750131,81.30,862721,18.70,3750131,3621601,96.57,51782,1.38,76748,2.05
2022-10-30 17:56:43,2022-10-30 17:55:44,14240,55.36,4720908,55.67,3838802,81.31,882106,18.69,3838802,3707240,96.57,53003,1.38,78559,2.05
2022-10-30 17:58:05,2022-10-30 17:56:51,14500,56.37,4806712,56.68,3908425,81.31,898287,18.69,3908425,3774720,96.58,53901,1.38,79804,2.04
2022-10-30 17:59:16,2022-10-30 17:57:52,14815,57.60,4911667,57.92,3993433,81.31,918234,18.69,3993433,3856838,96.58,55056,1.38,81539,2.04
2022-10-30 18:00:48,2022-10-30 17:59:58,15494,60.24,5133138,60.53,4172770,81.29,960368,18.71,4172770,4030101,96.58,57462,1.38,85207,2.04
2022-10-30 18:02:06,2022-10-30 18:01:04,15868,61.69,5254541,61.96,4271659,81.29,982882,18.71,4271659,4125592,96.58,58815,1.38,87252,2.04
2022-10-30 18:03:29,2022-10-30 18:02:11,16187,62.93,5362031,63.23,4359075,81.30,1002956,18.70,4359075,4209662,96.57,60182,1.38,89231,2.05
2022-10-30 18:04:35,2022-10-30 18:03:17,16418,63.83,5439180,64.14,4422097,81.30,1017083,18.70,4422097,4270461,96.57,61137,1.38,90499,2.05
2022-10-30 18:05:47,2022-10-30 18:04:19,16695,64.91,5528096,65.18,4494046,81.29,1034050,18.71,4494046,4339853,96.57,62212,1.38,91981,2.05
2022-10-30 18:07:09,2022-10-30 18:06:26,17182,66.80,5686545,67.05,4622898,81.30,1063647,18.70,4622898,4464230,96.57,64059,1.38,94609,2.05
2022-10-30 18:08:27,2022-10-30 18:07:36,17487,67.99,5783647,68.20,4702138,81.30,1081509,18.70,4702138,4540874,96.57,65137,1.39,96127,2.04
2022-10-30 18:09:41,2022-10-30 18:08:38,17828,69.31,5898328,69.55,4796500,81.32,1101828,18.68,4796500,4632143,96.57,66436,1.39,97921,2.04
2022-10-30 18:11:03,2022-10-30 18:09:48,18124,70.46,5997493,70.72,4877078,81.32,1120415,18.68,4877078,4710117,96.58,67482,1.38,99479,2.04
2022-10-30 18:12:26,2022-10-30 18:11:57,18716,72.77,6193736,73.03,5036841,81.32,1156895,18.68,5036841,4864658,96.58,69674,1.38,102509,2.04
2022-10-30 18:13:37,2022-10-30 18:13:02,19024,73.96,6295112,74.23,5119449,81.32,1175663,18.68,5119449,4944474,96.58,70832,1.39,104143,2.03
2022-10-30 18:14:59,2022-10-30 18:14:09,19328,75.14,6391558,75.37,5197487,81.32,1194071,18.68,5197487,5019840,96.58,71913,1.39,105734,2.03
2022-10-30 18:16:20,2022-10-30 18:15:16,19527,75.92,6455151,76.12,5248777,81.31,1206374,18.69,5248777,5069548,96.59,72534,1.38,106695,2.03
2022-10-30 18:17:39,2022-10-30 18:16:24,19708,76.62,6515840,76.83,5298014,81.31,1217826,18.69,5298014,5117121,96.59,73239,1.38,107654,2.03
2022-10-30 18:19:12,2022-10-30 18:18:30,20194,78.51,6677818,78.74,5429788,81.31,1248030,18.69,5429788,5244402,96.59,75118,1.38,110268,2.03
2022-10-30 18:20:33,2022-10-30 18:19:28,20478,79.62,6772774,79.86,5507175,81.31,1265599,18.69,5507175,5319221,96.59,76168,1.38,111786,2.03
2022-10-30 18:21:57,2022-10-30 18:20:36,20715,80.54,6851152,80.79,5571352,81.32,1279800,18.68,5571352,5381283,96.59,77052,1.38,113017,2.03
2022-10-30 18:23:21,2022-10-30 18:21:44,20920,81.33,6919025,81.59,5625566,81.31,1293459,18.69,5625566,5433814,96.59,77720,1.38,114032,2.03
2022-10-30 18:24:46,2022-10-30 18:23:55,21236,82.56,7021055,82.79,5708596,81.31,1312459,18.69,5708596,5513926,96.59,78942,1.38,115728,2.03
2022-10-30 18:26:17,2022-10-30 18:24:56,21408,83.23,7078012,83.46,5754621,81.30,1323391,18.70,5754621,5558237,96.59,79640,1.38,116744,2.03
2022-10-30 18:27:39,2022-10-30 18:27:12,21881,85.07,7232857,85.29,5880281,81.30,1352576,18.70,5880281,5679696,96.59,81391,1.38,119194,2.03
2022-10-30 18:29:03,2022-10-30 18:28:19,22120,86.00,7314074,86.24,5946321,81.30,1367753,18.70,5946321,5743440,96.59,82391,1.38,120490,2.03
2022-10-30 18:30:27,2022-10-30 18:29:20,22299,86.70,7373250,86.94,5995003,81.31,1378247,18.69,5995003,5790527,96.59,83051,1.38,121425,2.03
2022-10-30 18:31:58,2022-10-30 18:31:27,22653,88.07,7492650,88.35,6093450,81.33,1399200,18.67,6093450,5885593,96.59,84514,1.39,123343,2.02
2022-10-30 18:33:16,2022-10-30 18:32:38,22860,88.88,7560861,89.15,6149506,81.33,1411355,18.67,6149506,5939727,96.59,85300,1.39,124479,2.02
2022-10-30 18:34:39,2022-10-30 18:33:38,23020,89.50,7614516,89.79,6193557,81.34,1420959,18.66,6193557,5982264,96.59,85948,1.39,125345,2.02
2022-10-30 18:35:57,2022-10-30 18:34:49,23185,90.14,7668146,90.42,6237493,81.34,1430653,18.66,6237493,6024788,96.59,86513,1.39,126192,2.02
2022-10-30 18:37:27,2022-10-30 18:35:50,23360,90.82,7724360,91.08,6283314,81.34,1441046,18.66,6283314,6069062,96.59,87118,1.39,127134,2.02
2022-10-30 18:38:57,2022-10-30 18:38:08,23649,91.94,7819481,92.20,6360225,81.34,1459256,18.66,6360225,6143472,96.59,88162,1.39,128591,2.02
2022-10-30 18:40:23,2022-10-30 18:39:09,23764,92.39,7854834,92.62,6388758,81.34,1466076,18.66,6388758,6171102,96.59,88558,1.39,129098,2.02
2022-10-30 18:41:54,2022-10-30 18:40:18,23852,92.73,7883322,92.96,6412021,81.34,1471301,18.66,6412021,6193530,96.59,88920,1.39,129571,2.02
2022-10-30 18:43:14,2022-10-30 18:42:29,24033,93.44,7939464,93.62,6458119,81.34,1481345,18.66,6458119,6238120,96.59,89552,1.39,130447,2.02
2022-10-30 18:44:31,2022-10-30 18:43:30,24108,93.73,7965163,93.92,6478979,81.34,1486184,18.66,6478979,6258225,96.59,89869,1.39,130885,2.02
2022-10-30 18:45:55,2022-10-30 18:44:44,24147,93.88,7977050,94.06,6488585,81.34,1488465,18.66,6488585,6267497,96.59,90015,1.39,131073,2.02
2022-10-30 18:47:12,2022-10-30 18:45:44,24265,94.34,8016932,94.53,6521165,81.34,1495767,18.66,6521165,6298980,96.59,90473,1.39,131712,2.02
2022-10-30 18:50:26,2022-10-30 18:49:09,24578,95.56,8116020,95.70,6602394,81.35,1513626,18.65,6602394,6377711,96.60,91521,1.38,133162,2.02
2022-10-30 18:51:51,2022-10-30 18:51:17,24706,96.05,8158010,96.20,6636510,81.35,1521500,18.65,6636510,6410629,96.60,92036,1.38,133845,2.02
2022-10-30 18:53:27,2022-10-30 18:52:28,24813,96.47,8194466,96.63,6666443,81.35,1528023,18.65,6666443,6439524,96.60,92462,1.38,134457,2.02
2022-10-30 18:54:51,2022-10-30 18:53:34,24901,96.81,8223981,96.97,6690712,81.36,1533269,18.64,6690712,6462935,96.60,92772,1.38,135005,2.02
2022-10-30 18:56:24,2022-10-30 18:55:46,25050,97.39,8271214,97.53,6729551,81.36,1541663,18.64,6729551,6500476,96.60,93274,1.38,135801,2.02
2022-10-30 18:57:59,2022-10-30 18:56:49,25110,97.62,8290800,97.76,6745802,81.36,1544998,18.64,6745802,6516210,96.60,93503,1.38,136089,2.02
2022-10-30 18:59:26,2022-10-30 18:59:00,25235,98.11,8331705,98.24,6779449,81.37,1552256,18.63,6779449,6548735,96.60,93969,1.38,136745,2.02
2022-10-30 19:01:04,2022-10-30 19:00:09,25272,98.25,8344022,98.39,6789550,81.37,1554472,18.63,6789550,6558547,96.60,94083,1.38,136920,2.02
2022-10-30 19:02:26,2022-10-30 19:01:11,25294,98.34,8351246,98.47,6795452,81.37,1555794,18.63,6795452,6564276,96.60,94150,1.38,137026,2.02
2022-10-30 19:03:51,2022-10-30 19:02:18,25319,98.44,8359185,98.57,6802018,81.37,1557167,18.63,6802018,6570672,96.60,94227,1.38,137119,2.02
2022-10-30 19:05:13,2022-10-30 19:03:26,25349,98.55,8369144,98.69,6810111,81.37,1559033,18.63,6810111,6578503,96.60,94336,1.38,137272,2.02
2022-10-30 19:06:43,2022-10-30 19:05:45,25397,98.74,8384339,98.86,6822638,81.37,1561701,18.63,6822638,6590670,96.60,94499,1.39,137469,2.01
2022-10-30 19:08:09,2022-10-30 19:07:52,25424,98.85,8392740,98.96,6829448,81.37,1563292,18.63,6829448,6597261,96.60,94594,1.39,137593,2.01
2022-10-30 19:09:29,2022-10-30 19:07:52,25424,98.85,8392740,98.96,6829448,81.37,1563292,18.63,6829448,6597261,96.60,94594,1.39,137593,2.01
2022-10-30 19:11:13,2022-10-30 19:10:07,25471,99.03,8407544,99.14,6841674,81.38,1565870,18.62,6841674,6609062,96.60,94770,1.39,137842,2.01
2022-10-30 19:12:59,2022-10-30 19:11:12,25486,99.09,8412299,99.19,6845638,81.38,1566661,18.62,6845638,6612892,96.60,94827,1.39,137919,2.01
2022-10-30 19:14:42,2022-10-30 19:13:26,25519,99.21,8422894,99.32,6854456,81.38,1568438,18.62,6854456,6621431,96.60,94950,1.39,138075,2.01
2022-10-30 19:16:20,2022-10-30 19:15:38,25535,99.28,8427297,99.37,6858073,81.38,1569224,18.62,6858073,6624936,96.60,94996,1.39,138141,2.01
2022-10-30 19:17:57,2022-10-30 19:16:44,25541,99.30,8428859,99.39,6859357,81.38,1569502,18.62,6859357,6626172,96.60,95019,1.39,138166,2.01
2022-10-30 19:19:40,2022-10-30 19:18:56,25550,99.34,8431591,99.42,6861602,81.38,1569989,18.62,6861602,6628336,96.60,95058,1.39,138208,2.01
