date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:14, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:14, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:20, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:20, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:34, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:34, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:49, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:49, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:02, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:02, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:14, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:14, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:24, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:24, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:29, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:29, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:41, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:41, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:10:53, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:10:53, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:12:04, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:12:04, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:13:11, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:13:11, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:14:22,2022-10-30 17:13:08,Bolsonaro,221,56.23,2,0.01,562,0.01
2022-10-30 17:14:22,2022-10-30 17:13:08,Lula,172,43.77,2,0.01,562,0.01
