date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:16, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:16, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:26, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:26, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:36, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:36, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:56, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:56, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:04, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:04, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:15, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:15, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:25, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:25, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:38, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:38, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:43, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:43, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:10:55, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:10:55, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:12:05, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:12:05, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:13:13, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:13:13, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:14:24, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:14:24, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:15:35, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:15:35, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:16:40, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:16:40, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:17:47, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:17:47, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:19:04, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:19:04, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:20:09, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:20:09, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:21:30, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:21:30, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:22:36, ,Lula,0,0.0,0,0.00,0,0.00
