date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:17, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:27, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:37, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:03:58, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:05:10, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:06:22, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:07:27, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:08:39, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:09:50,2022-10-30 16:09:02,27,0.64,8191,0.67,6497,79.32,1694,20.68,6497,6250,96.20,70,1.08,177,2.72
2022-10-30 17:11:01,2022-10-30 16:10:04,43,1.02,12968,1.05,10194,78.61,2774,21.39,10194,9793,96.07,121,1.18,280,2.75
2022-10-30 17:12:07,2022-10-30 16:11:09,54,1.29,16225,1.32,12785,78.80,3440,21.20,12785,12282,96.07,150,1.17,353,2.76
2022-10-30 17:13:15,2022-10-30 16:12:09,60,1.43,17995,1.46,14207,78.95,3788,21.05,14207,13656,96.12,168,1.18,383,2.70
2022-10-30 17:14:25,2022-10-30 16:13:20,85,2.02,25220,2.05,19823,78.60,5397,21.40,19823,19074,96.22,229,1.16,520,2.62
2022-10-30 17:15:36,2022-10-30 16:14:19,109,2.60,32355,2.63,25305,78.21,7050,21.79,25305,24334,96.16,301,1.19,670,2.65
2022-10-30 17:16:42,2022-10-30 16:15:26,142,3.38,42753,3.48,33480,78.31,9273,21.69,33480,32204,96.19,397,1.18,879,2.63
2022-10-30 17:17:49,2022-10-30 16:16:32,169,4.03,51373,4.18,40124,78.10,11249,21.90,40124,38603,96.21,478,1.19,1043,2.60
