date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:17, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:17, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:27, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:27, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:37, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:37, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:58, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:58, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:10, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:10, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:22, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:22, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:27, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:27, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:39, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:39, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:50,2022-10-30 16:09:00,Lula,127,85.23,1,0.08,184,0.05
2022-10-30 17:09:50,2022-10-30 16:09:00,Bolsonaro,22,14.77,1,0.08,184,0.05
2022-10-30 17:11:01,2022-10-30 16:10:01,Bolsonaro,399,62.64,4,0.32,826,0.23
2022-10-30 17:11:01,2022-10-30 16:10:01,Lula,238,37.36,4,0.32,826,0.23
2022-10-30 17:12:08,2022-10-30 16:11:04,Bolsonaro,520,61.18,5,0.39,1098,0.30
2022-10-30 17:12:08,2022-10-30 16:11:04,Lula,330,38.82,5,0.39,1098,0.30
2022-10-30 17:13:15,2022-10-30 16:11:04,Bolsonaro,520,61.18,5,0.39,1098,0.30
2022-10-30 17:13:15,2022-10-30 16:11:04,Lula,330,38.82,5,0.39,1098,0.30
2022-10-30 17:14:25,2022-10-30 16:13:12,Lula,672,49.34,8,0.63,1704,0.46
2022-10-30 17:14:25,2022-10-30 16:13:12,Bolsonaro,690,50.66,8,0.63,1704,0.46
2022-10-30 17:15:36,2022-10-30 16:14:10,Bolsonaro,837,54.07,9,0.71,1950,0.53
2022-10-30 17:15:36,2022-10-30 16:14:10,Lula,711,45.93,9,0.71,1950,0.53
2022-10-30 17:16:43,2022-10-30 16:15:20,Bolsonaro,1028,55.0,12,0.95,2508,0.68
2022-10-30 17:16:43,2022-10-30 16:15:20,Lula,841,45.0,12,0.95,2508,0.68
2022-10-30 17:17:49,2022-10-30 16:17:24,Bolsonaro,1473,56.09,16,1.26,3476,0.95
2022-10-30 17:17:49,2022-10-30 16:17:24,Lula,1153,43.91,16,1.26,3476,0.95
2022-10-30 17:19:05,2022-10-30 16:17:24,Bolsonaro,1473,56.09,16,1.26,3476,0.95
2022-10-30 17:19:05,2022-10-30 16:17:24,Lula,1153,43.91,16,1.26,3476,0.95
2022-10-30 17:20:10,2022-10-30 16:18:30,Lula,1332,39.07,21,1.66,4591,1.25
2022-10-30 17:20:10,2022-10-30 16:18:30,Bolsonaro,2077,60.93,21,1.66,4591,1.25
2022-10-30 17:21:32,2022-10-30 16:19:40,Bolsonaro,3506,64.24,34,2.68,7446,2.03
2022-10-30 17:21:32,2022-10-30 16:19:40,Lula,1952,35.76,34,2.68,7446,2.03
2022-10-30 17:22:42,2022-10-30 16:21:40,Bolsonaro,4010,65.22,39,3.08,8433,2.30
2022-10-30 17:22:42,2022-10-30 16:21:40,Lula,2138,34.78,39,3.08,8433,2.30
2022-10-30 17:23:59,2022-10-30 16:22:48,Bolsonaro,5165,65.43,47,3.71,10604,2.89
2022-10-30 17:23:59,2022-10-30 16:22:48,Lula,2729,34.57,47,3.71,10604,2.89
2022-10-30 17:25:11,2022-10-30 16:23:44,Bolsonaro,5856,66.27,51,4.02,11792,3.22
2022-10-30 17:25:11,2022-10-30 16:23:44,Lula,2981,33.73,51,4.02,11792,3.22
2022-10-30 17:26:16,2022-10-30 16:25:54,Lula,4529,29.66,81,6.39,20133,5.49
2022-10-30 17:26:16,2022-10-30 16:25:54,Bolsonaro,10740,70.34,81,6.39,20133,5.49
2022-10-30 17:27:23,2022-10-30 16:26:53,Bolsonaro,15006,72.09,106,8.36,27365,7.46
2022-10-30 17:27:23,2022-10-30 16:26:53,Lula,5809,27.91,106,8.36,27365,7.46
2022-10-30 17:28:29,2022-10-30 16:27:59,Bolsonaro,16954,72.67,120,9.46,30805,8.40
2022-10-30 17:28:29,2022-10-30 16:27:59,Lula,6377,27.33,120,9.46,30805,8.40
2022-10-30 17:29:40,2022-10-30 16:27:59,Bolsonaro,16954,72.67,120,9.46,30805,8.40
2022-10-30 17:29:40,2022-10-30 16:27:59,Lula,6377,27.33,120,9.46,30805,8.40
2022-10-30 17:30:58,2022-10-30 16:30:04,Bolsonaro,21262,73.77,144,11.36,37944,10.35
2022-10-30 17:30:58,2022-10-30 16:30:04,Lula,7561,26.23,144,11.36,37944,10.35
2022-10-30 17:32:09,2022-10-30 16:31:07,Bolsonaro,22839,74.22,152,11.99,40346,11.00
2022-10-30 17:32:09,2022-10-30 16:31:07,Lula,7934,25.78,152,11.99,40346,11.00
