date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:15, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:15, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:20, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:20, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:35, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:35, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:49, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:49, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:03, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:03, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:14, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:14, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:24, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:24, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:29, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:29, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:42, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:42, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:10:54, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:10:54, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:12:04, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:12:04, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:13:12, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:13:12, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:14:23, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:14:23, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:15:34, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:15:34, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:16:39, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:16:39, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:17:45,2022-10-30 17:16:25,Lula,13693,39.05,144,0.53,44853,0.52
2022-10-30 17:17:45,2022-10-30 17:16:25,Bolsonaro,21370,60.95,144,0.53,44853,0.52
2022-10-30 17:18:58,2022-10-30 17:17:18,Bolsonaro,26959,61.4,181,0.67,56242,0.65
2022-10-30 17:18:58,2022-10-30 17:17:18,Lula,16945,38.6,181,0.67,56242,0.65
2022-10-30 17:20:08,2022-10-30 17:18:26,Bolsonaro,32611,61.33,218,0.80,68115,0.79
2022-10-30 17:20:08,2022-10-30 17:18:26,Lula,20558,38.67,218,0.80,68115,0.79
2022-10-30 17:21:24,2022-10-30 17:20:41,Bolsonaro,77044,62.46,492,1.81,156502,1.82
2022-10-30 17:21:24,2022-10-30 17:20:41,Lula,46313,37.54,492,1.81,156502,1.82
2022-10-30 17:22:35,2022-10-30 17:21:50,Bolsonaro,108251,61.52,701,2.58,223728,2.60
2022-10-30 17:22:35,2022-10-30 17:21:50,Lula,67701,38.48,701,2.58,223728,2.60
2022-10-30 17:23:45,2022-10-30 17:22:54,Lula,84321,38.42,871,3.20,278547,3.24
2022-10-30 17:23:45,2022-10-30 17:22:54,Bolsonaro,135138,61.58,871,3.20,278547,3.24
2022-10-30 17:25:08,2022-10-30 17:23:59,Bolsonaro,167944,61.75,1076,3.96,345380,4.02
2022-10-30 17:25:08,2022-10-30 17:23:59,Lula,104042,38.25,1076,3.96,345380,4.02
2022-10-30 17:26:14,2022-10-30 17:25:01,Bolsonaro,195001,61.33,1265,4.65,404507,4.71
2022-10-30 17:26:14,2022-10-30 17:25:01,Lula,122949,38.67,1265,4.65,404507,4.71
2022-10-30 17:27:20,2022-10-30 17:26:06,Bolsonaro,257841,61.46,1667,6.13,533386,6.21
2022-10-30 17:27:20,2022-10-30 17:26:06,Lula,161696,38.54,1667,6.13,533386,6.21
2022-10-30 17:28:26,2022-10-30 17:27:07,Bolsonaro,311312,61.44,2011,7.39,643065,7.49
2022-10-30 17:28:26,2022-10-30 17:27:07,Lula,195418,38.56,2011,7.39,643065,7.49
2022-10-30 17:29:37,2022-10-30 17:28:10,Lula,229269,39.15,2323,8.54,744845,8.67
2022-10-30 17:29:37,2022-10-30 17:28:10,Bolsonaro,356295,60.85,2323,8.54,744845,8.67
2022-10-30 17:30:44,2022-10-30 17:30:23,Bolsonaro,426462,60.39,2815,10.35,901323,10.49
2022-10-30 17:30:44,2022-10-30 17:30:23,Lula,279727,39.61,2815,10.35,901323,10.49
2022-10-30 17:32:01,2022-10-30 17:31:22,Bolsonaro,477654,59.98,3175,11.67,1017322,11.84
2022-10-30 17:32:01,2022-10-30 17:31:22,Lula,318653,40.02,3175,11.67,1017322,11.84
2022-10-30 17:33:18,2022-10-30 17:32:36,Bolsonaro,525045,59.89,3500,12.87,1119568,13.03
2022-10-30 17:33:18,2022-10-30 17:32:36,Lula,351651,40.11,3500,12.87,1119568,13.03
2022-10-30 17:34:25,2022-10-30 17:33:47,Bolsonaro,566254,59.95,3781,13.90,1206710,14.05
2022-10-30 17:34:25,2022-10-30 17:33:47,Lula,378361,40.05,3781,13.90,1206710,14.05
2022-10-30 17:35:42,2022-10-30 17:34:40,Lula,409951,40.05,4103,15.08,1308679,15.24
2022-10-30 17:35:42,2022-10-30 17:34:40,Bolsonaro,613758,59.95,4103,15.08,1308679,15.24
2022-10-30 17:36:51,2022-10-30 17:35:45,Bolsonaro,649452,59.96,4340,15.96,1383711,16.11
2022-10-30 17:36:51,2022-10-30 17:35:45,Lula,433635,40.04,4340,15.96,1383711,16.11
2022-10-30 17:37:58,2022-10-30 17:36:40,Bolsonaro,684747,59.81,4597,16.90,1464377,17.05
2022-10-30 17:37:58,2022-10-30 17:36:40,Lula,460166,40.19,4597,16.90,1464377,17.05
2022-10-30 17:39:09,2022-10-30 17:37:48,Bolsonaro,719387,59.77,4841,17.80,1539690,17.92
2022-10-30 17:39:09,2022-10-30 17:37:48,Lula,484190,40.23,4841,17.80,1539690,17.92
2022-10-30 17:40:14,2022-10-30 17:39:52,Bolsonaro,788681,59.45,5341,19.64,1699104,19.78
2022-10-30 17:40:14,2022-10-30 17:39:52,Lula,537941,40.55,5341,19.64,1699104,19.78
2022-10-30 17:41:25,2022-10-30 17:41:04,Lula,565175,40.67,5604,20.60,1781048,20.73
2022-10-30 17:41:25,2022-10-30 17:41:04,Bolsonaro,824438,59.33,5604,20.60,1781048,20.73
2022-10-30 17:42:32,2022-10-30 17:42:01,Bolsonaro,868218,59.17,5916,21.75,1882383,21.91
2022-10-30 17:42:32,2022-10-30 17:42:01,Lula,598989,40.83,5916,21.75,1882383,21.91
2022-10-30 17:43:39,2022-10-30 17:42:01,Bolsonaro,868218,59.17,5916,21.75,1882383,21.91
2022-10-30 17:43:39,2022-10-30 17:42:01,Lula,598989,40.83,5916,21.75,1882383,21.91
2022-10-30 17:44:53,2022-10-30 17:43:10,Bolsonaro,923986,59.19,6293,23.14,2001662,23.30
2022-10-30 17:44:53,2022-10-30 17:43:10,Lula,637052,40.81,6293,23.14,2001662,23.30
2022-10-30 17:46:04,2022-10-30 17:45:15,Lula,691545,40.96,6815,25.05,2165007,25.20
2022-10-30 17:46:04,2022-10-30 17:45:15,Bolsonaro,996778,59.04,6815,25.05,2165007,25.20
2022-10-30 17:47:16,2022-10-30 17:46:22,Lula,728894,41.04,7182,26.40,2279009,26.53
2022-10-30 17:47:16,2022-10-30 17:46:22,Bolsonaro,1047371,58.96,7182,26.40,2279009,26.53
2022-10-30 17:48:49,2022-10-30 17:47:28,Bolsonaro,1091170,58.96,7486,27.52,2374398,27.64
2022-10-30 17:48:49,2022-10-30 17:47:28,Lula,759393,41.04,7486,27.52,2374398,27.64
2022-10-30 17:50:04,2022-10-30 17:49:43,Bolsonaro,1174419,58.7,8096,29.76,2569297,29.91
2022-10-30 17:50:04,2022-10-30 17:49:43,Lula,826356,41.3,8096,29.76,2569297,29.91
2022-10-30 17:51:16,2022-10-30 17:49:43,Bolsonaro,1174419,58.7,8096,29.76,2569297,29.91
2022-10-30 17:51:16,2022-10-30 17:49:43,Lula,826356,41.3,8096,29.76,2569297,29.91
2022-10-30 17:52:30,2022-10-30 17:51:48,Bolsonaro,1252250,58.51,8679,31.91,2751660,32.03
2022-10-30 17:52:30,2022-10-30 17:51:48,Lula,888008,41.49,8679,31.91,2751660,32.03
2022-10-30 17:53:47,2022-10-30 17:52:53,Lula,912847,41.53,8911,32.76,2826007,32.90
2022-10-30 17:53:47,2022-10-30 17:52:53,Bolsonaro,1285004,58.47,8911,32.76,2826007,32.90
2022-10-30 17:55:05,2022-10-30 17:53:52,Bolsonaro,1307752,58.42,9075,33.36,2879074,33.52
2022-10-30 17:55:05,2022-10-30 17:53:52,Lula,930867,41.58,9075,33.36,2879074,33.52
2022-10-30 17:56:27,2022-10-30 17:54:54,Bolsonaro,1341004,58.38,9313,34.24,2953869,34.39
2022-10-30 17:56:27,2022-10-30 17:54:54,Lula,955888,41.62,9313,34.24,2953869,34.39
2022-10-30 17:57:51,2022-10-30 17:57:06,Bolsonaro,1430177,58.22,9945,36.56,3161569,36.81
2022-10-30 17:57:51,2022-10-30 17:57:06,Lula,1026148,41.78,9945,36.56,3161569,36.81
2022-10-30 17:59:12,2022-10-30 17:58:11,Lula,1064067,41.89,10286,37.81,3272371,38.10
2022-10-30 17:59:12,2022-10-30 17:58:11,Bolsonaro,1476343,58.11,10286,37.81,3272371,38.10
2022-10-30 18:00:27,2022-10-30 18:00:13,Lula,1136934,41.9,10982,40.37,3498953,40.73
2022-10-30 18:00:27,2022-10-30 18:00:13,Bolsonaro,1576681,58.1,10982,40.37,3498953,40.73
2022-10-30 18:01:57,2022-10-30 18:01:27,Bolsonaro,1610448,58.06,11224,41.26,3576508,41.64
2022-10-30 18:01:57,2022-10-30 18:01:27,Lula,1163153,41.94,11224,41.26,3576508,41.64
2022-10-30 18:03:19,2022-10-30 18:02:31,Bolsonaro,1636605,58.0,11430,42.02,3639608,42.37
2022-10-30 18:03:19,2022-10-30 18:02:31,Lula,1185045,42.0,11430,42.02,3639608,42.37
2022-10-30 18:04:32,2022-10-30 18:03:34,Bolsonaro,1662143,57.95,11620,42.72,3700566,43.08
2022-10-30 18:04:32,2022-10-30 18:03:34,Lula,1206322,42.05,11620,42.72,3700566,43.08
2022-10-30 18:05:40,2022-10-30 18:04:43,Bolsonaro,1692753,57.82,11860,43.60,3778786,43.99
2022-10-30 18:05:40,2022-10-30 18:04:43,Lula,1235063,42.18,11860,43.60,3778786,43.99
2022-10-30 18:06:58,2022-10-30 18:06:44,Lula,1285998,42.21,12349,45.40,3931235,45.77
2022-10-30 18:06:58,2022-10-30 18:06:44,Bolsonaro,1760925,57.79,12349,45.40,3931235,45.77
2022-10-30 18:08:16,2022-10-30 18:06:44,Bolsonaro,1760925,57.79,12349,45.40,3931235,45.77
2022-10-30 18:08:16,2022-10-30 18:06:44,Lula,1285998,42.21,12349,45.40,3931235,45.77
2022-10-30 18:09:36,2022-10-30 18:08:51,Bolsonaro,1815041,57.66,12770,46.95,4063005,47.30
2022-10-30 18:09:36,2022-10-30 18:08:51,Lula,1332992,42.34,12770,46.95,4063005,47.30
2022-10-30 18:10:53,2022-10-30 18:10:05,Bolsonaro,1844158,57.63,12997,47.78,4130691,48.09
2022-10-30 18:10:53,2022-10-30 18:10:05,Lula,1356086,42.37,12997,47.78,4130691,48.09
2022-10-30 18:12:18,2022-10-30 18:11:10,Bolsonaro,1872048,57.58,13201,48.53,4196309,48.85
2022-10-30 18:12:18,2022-10-30 18:11:10,Lula,1378886,42.42,13201,48.53,4196309,48.85
2022-10-30 18:13:33,2022-10-30 18:12:20,Bolsonaro,1901868,57.57,13418,49.33,4266166,49.67
2022-10-30 18:13:33,2022-10-30 18:12:20,Lula,1401917,42.43,13418,49.33,4266166,49.67
2022-10-30 18:14:41,2022-10-30 18:13:21,Lula,1429102,42.44,13681,50.30,4350244,50.64
2022-10-30 18:14:41,2022-10-30 18:13:21,Bolsonaro,1938385,57.56,13681,50.30,4350244,50.64
2022-10-30 18:16:10,2022-10-30 18:15:25,Bolsonaro,2000960,57.46,14143,51.99,4500949,52.40
2022-10-30 18:16:10,2022-10-30 18:15:25,Lula,1481550,42.54,14143,51.99,4500949,52.40
2022-10-30 18:17:28,2022-10-30 18:16:27,Bolsonaro,2035682,57.43,14396,52.92,4582164,53.34
2022-10-30 18:17:28,2022-10-30 18:16:27,Lula,1509196,42.57,14396,52.92,4582164,53.34
2022-10-30 18:18:59,2022-10-30 18:17:33,Bolsonaro,2065045,57.37,14612,53.72,4653203,54.17
2022-10-30 18:18:59,2022-10-30 18:17:33,Lula,1534378,42.63,14612,53.72,4653203,54.17
2022-10-30 18:20:20,2022-10-30 18:18:41,Bolsonaro,2090600,57.36,14798,54.40,4711434,54.85
2022-10-30 18:20:20,2022-10-30 18:18:41,Lula,1553811,42.64,14798,54.40,4711434,54.85
2022-10-30 18:21:42,2022-10-30 18:20:48,Lula,1611408,42.79,15299,56.24,4873462,56.74
2022-10-30 18:21:42,2022-10-30 18:20:48,Bolsonaro,2154551,57.21,15299,56.24,4873462,56.74
2022-10-30 18:23:08,2022-10-30 18:21:56,Bolsonaro,2192516,57.16,15575,57.26,4965239,57.80
2022-10-30 18:23:08,2022-10-30 18:21:56,Lula,1643075,42.84,15575,57.26,4965239,57.80
2022-10-30 18:24:30,2022-10-30 18:24:02,Bolsonaro,2255569,57.1,16056,59.03,5115914,59.56
2022-10-30 18:24:30,2022-10-30 18:24:02,Lula,1694897,42.9,16056,59.03,5115914,59.56
2022-10-30 18:25:55,2022-10-30 18:25:08,Bolsonaro,2284120,57.03,16273,59.83,5188633,60.41
2022-10-30 18:25:55,2022-10-30 18:25:08,Lula,1721222,42.97,16273,59.83,5188633,60.41
2022-10-30 18:27:27,2022-10-30 18:26:18,Bolsonaro,2321638,57.03,16535,60.79,5273336,61.39
2022-10-30 18:27:27,2022-10-30 18:26:18,Lula,1749317,42.97,16535,60.79,5273336,61.39
2022-10-30 18:28:45,2022-10-30 18:27:20,Lula,1779662,42.97,16823,61.85,5365454,62.46
2022-10-30 18:28:45,2022-10-30 18:27:20,Bolsonaro,2361569,57.03,16823,61.85,5365454,62.46
2022-10-30 18:30:10,2022-10-30 18:29:34,Bolsonaro,2439190,56.88,17422,64.05,5559582,64.72
2022-10-30 18:30:10,2022-10-30 18:29:34,Lula,1848955,43.12,17422,64.05,5559582,64.72
2022-10-30 18:31:41,2022-10-30 18:30:44,Bolsonaro,2478208,56.88,17703,65.08,5648353,65.76
2022-10-30 18:31:41,2022-10-30 18:30:44,Lula,1878861,43.12,17703,65.08,5648353,65.76
2022-10-30 18:33:07,2022-10-30 18:31:45,Bolsonaro,2516523,56.88,17977,66.09,5734262,66.76
2022-10-30 18:33:07,2022-10-30 18:31:45,Lula,1907429,43.12,17977,66.09,5734262,66.76
2022-10-30 18:34:26,2022-10-30 18:33:52,Bolsonaro,2599499,56.8,18587,68.33,5933260,69.07
2022-10-30 18:34:26,2022-10-30 18:33:52,Lula,1977434,43.2,18587,68.33,5933260,69.07
2022-10-30 18:35:47,2022-10-30 18:35:05,Lula,2014748,43.2,18932,69.60,6046168,70.39
2022-10-30 18:35:47,2022-10-30 18:35:05,Bolsonaro,2649404,56.8,18932,69.60,6046168,70.39
2022-10-30 18:37:12,2022-10-30 18:36:09,Bolsonaro,2684244,56.78,19183,70.52,6128368,71.35
2022-10-30 18:37:12,2022-10-30 18:36:09,Lula,2043536,43.22,19183,70.52,6128368,71.35
2022-10-30 18:38:39,2022-10-30 18:37:17,Bolsonaro,2715599,56.75,19414,71.37,6203544,72.22
2022-10-30 18:38:39,2022-10-30 18:37:17,Lula,2069722,43.25,19414,71.37,6203544,72.22
2022-10-30 18:40:08,2022-10-30 18:39:29,Bolsonaro,2790796,56.76,19962,73.39,6374815,74.21
2022-10-30 18:40:08,2022-10-30 18:39:29,Lula,2126383,43.24,19962,73.39,6374815,74.21
2022-10-30 18:41:39,2022-10-30 18:40:37,Bolsonaro,2827905,56.73,20239,74.41,6463127,75.24
2022-10-30 18:41:39,2022-10-30 18:40:37,Lula,2157091,43.27,20239,74.41,6463127,75.24
2022-10-30 18:43:01,2022-10-30 18:41:42,Lula,2190336,43.32,20532,75.48,6555274,76.32
2022-10-30 18:43:01,2022-10-30 18:41:42,Bolsonaro,2865383,56.68,20532,75.48,6555274,76.32
2022-10-30 18:44:20,2022-10-30 18:42:51,Bolsonaro,2902354,56.66,20805,76.49,6642721,77.33
2022-10-30 18:44:20,2022-10-30 18:42:51,Lula,2220264,43.34,20805,76.49,6642721,77.33
2022-10-30 18:45:42,2022-10-30 18:45:02,Bolsonaro,2947820,56.66,21143,77.73,6748347,78.56
2022-10-30 18:45:42,2022-10-30 18:45:02,Lula,2255107,43.34,21143,77.73,6748347,78.56
2022-10-30 18:47:01,2022-10-30 18:46:09,Bolsonaro,2993915,56.6,21508,79.07,6861304,79.88
2022-10-30 18:47:01,2022-10-30 18:46:09,Lula,2295510,43.4,21508,79.07,6861304,79.88
2022-10-30 18:48:24,2022-10-30 18:47:16,Bolsonaro,3032920,56.57,21804,80.16,6954576,80.96
2022-10-30 18:48:24,2022-10-30 18:47:16,Lula,2328454,43.43,21804,80.16,6954576,80.96
2022-10-30 18:50:01,2022-10-30 18:49:30,Lula,2386361,43.47,22348,82.16,7119820,82.89
2022-10-30 18:50:01,2022-10-30 18:49:30,Bolsonaro,3103632,56.53,22348,82.16,7119820,82.89
2022-10-30 18:51:38,2022-10-30 18:50:30,Bolsonaro,3130455,56.52,22542,82.87,7183343,83.63
2022-10-30 18:51:38,2022-10-30 18:50:30,Lula,2408027,43.48,22542,82.87,7183343,83.63
2022-10-30 18:53:12,2022-10-30 18:51:37,Bolsonaro,3163782,56.51,22790,83.78,7261371,84.54
2022-10-30 18:53:12,2022-10-30 18:51:37,Lula,2434353,43.49,22790,83.78,7261371,84.54
2022-10-30 18:54:38,2022-10-30 18:53:58,Bolsonaro,3243691,56.44,23402,86.03,7455731,86.80
2022-10-30 18:54:38,2022-10-30 18:53:58,Lula,2503896,43.56,23402,86.03,7455731,86.80
2022-10-30 18:56:08,2022-10-30 18:55:08,Bolsonaro,3279099,56.39,23675,87.04,7543729,87.82
2022-10-30 18:56:08,2022-10-30 18:55:08,Lula,2535793,43.61,23675,87.04,7543729,87.82
2022-10-30 18:57:40,2022-10-30 18:56:11,Lula,2559889,43.63,23891,87.83,7611125,88.61
2022-10-30 18:57:40,2022-10-30 18:56:11,Bolsonaro,3306850,56.37,23891,87.83,7611125,88.61
2022-10-30 18:59:12,2022-10-30 18:58:24,Bolsonaro,3372274,56.33,24379,89.63,7767801,90.43
2022-10-30 18:59:12,2022-10-30 18:58:24,Lula,2614177,43.67,24379,89.63,7767801,90.43
2022-10-30 19:00:44,2022-10-30 18:59:27,Bolsonaro,3399379,56.32,24596,90.42,7832156,91.18
2022-10-30 19:00:44,2022-10-30 18:59:27,Lula,2636666,43.68,24596,90.42,7832156,91.18
2022-10-30 19:02:14,2022-10-30 19:01:32,Bolsonaro,3447426,56.31,24960,91.76,7944109,92.48
