date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:13, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:13, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:18, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:18, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:33, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:33, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:48, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:48, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:01, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:01, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:13, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:13, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:23, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:23, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:28, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:28, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:41, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:41, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:10:52, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:10:52, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:12:03, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:12:03, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:13:09, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:13:09, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:14:16, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:14:16, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:15:31, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:15:31, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:16:38, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:16:38, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:17:44, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:17:44, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:18:56, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:18:56, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:20:07, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:20:07, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:21:12, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:21:12, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:22:33,2022-10-30 17:21:30,Lula,90,51.14,1,0.02,238,0.01
2022-10-30 17:22:33,2022-10-30 17:21:30,Bolsonaro,86,48.86,1,0.02,238,0.01
2022-10-30 17:23:44,2022-10-30 17:22:33,Bolsonaro,564,51.93,6,0.11,1427,0.09
2022-10-30 17:23:44,2022-10-30 17:22:33,Lula,522,48.07,6,0.11,1427,0.09
2022-10-30 17:25:06,2022-10-30 17:23:36,Bolsonaro,665,51.91,7,0.13,1667,0.10
2022-10-30 17:25:06,2022-10-30 17:23:36,Lula,616,48.09,7,0.13,1667,0.10
