date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:14, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:19, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:34, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:03:49, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:05:02, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:06:14,2022-10-30 17:04:54,2,0.05,570,0.05,455,79.82,115,20.18,455,441,96.92,3,0.66,11,2.42
2022-10-30 17:07:24,2022-10-30 17:04:54,2,0.05,570,0.05,455,79.82,115,20.18,455,441,96.92,3,0.66,11,2.42
2022-10-30 17:08:29,2022-10-30 17:07:04,11,0.28,2847,0.26,2244,78.82,603,21.18,2244,2178,97.06,20,0.89,46,2.05
2022-10-30 17:09:41,2022-10-30 17:08:06,23,0.58,6235,0.57,4958,79.52,1277,20.48,4958,4826,97.34,38,0.76,94,1.90
2022-10-30 17:10:53,2022-10-30 17:10:14,75,1.90,19832,1.81,16058,80.97,3774,19.03,16058,15623,97.29,124,0.77,311,1.94
2022-10-30 17:12:03,2022-10-30 17:11:17,93,2.35,24393,2.23,19707,80.79,4686,19.21,19707,19173,97.29,143,0.73,391,1.98
2022-10-30 17:13:10,2022-10-30 17:12:17,114,2.88,30321,2.77,24337,80.26,5984,19.74,24337,23666,97.24,178,0.73,493,2.03
2022-10-30 17:14:22,2022-10-30 17:13:31,168,4.25,44631,4.08,35834,80.29,8797,19.71,35834,34832,97.20,294,0.82,708,1.98
2022-10-30 17:15:32,2022-10-30 17:14:29,239,6.04,64708,5.91,51976,80.32,12732,19.68,51976,50545,97.25,408,0.78,1023,1.97
